especie,rotacao,regiao,fazenda,projeto,estrato,talhao,idade,ano,pagina,arvore,dap,ht,vol,voltot
E.grandis,1,Salto,1,91,109,43,2.6,93,320003,2,13.69,18.35,107.280119,108
E.grandis,1,Salto,1,91,109,43,2.6,93,320003,3,13.37,18.39,107.465155,108
E.grandis,1,Salto,1,91,109,43,2.6,93,320103,1,12.73,17.42,94.399778,94.9
E.grandis,1,Salto,1,91,109,43,2.6,93,320103,2,11.78,16.5,78.119098,78.6
E.grandis,1,Salto,1,91,109,43,2.6,93,320103,3,12.1,18.67,92.637812,94
E.grandis,1,Salto,1,91,109,43,2.6,93,320203,1,10.5,16.6,61.07132,62.4
E.grandis,1,Salto,1,91,109,43,2.6,93,320203,2,10.82,16.38,64.12584,65.2
E.grandis,1,Salto,1,91,109,43,2.6,93,320203,3,9.87,15.4,56.223002,57.2
E.grandis,1,Salto,2,91,201,1,2.7,94,322801,1,5.09,9.72,7.348523,9.87
E.grandis,1,Salto,2,91,201,1,2.7,94,323006,1,8.28,14.9,34.859823,36.2
E.grandis,1,Salto,2,91,201,1,2.7,94,323006,2,8.28,15.73,39.012631,40.2
E.grandis,1,Salto,2,91,201,1,2.7,94,323110,1,9.87,16.06,51.940313,53.5
E.grandis,1,Salto,2,91,201,1,2.7,94,323110,2,10.5,16.42,59.785977,61
E.grandis,1,Salto,2,91,201,1,2.7,94,323110,3,10.82,16.46,63.688907,64.8
E.grandis,1,Salto,2,91,201,1,2.7,94,323110,4,11.14,17,72.780496,73.6
E.grandis,1,Salto,2,91,201,1,2.7,94,323310,1,11.14,17.64,74.308315,75.5
E.grandis,1,Salto,2,91,201,1,2.7,94,323310,2,11.46,17.84,81.472591,82.2
E.grandis,1,Salto,2,91,201,1,2.7,94,323310,3,12.1,18.79,92.637812,94
E.grandis,1,Salto,2,91,201,1,2.7,94,323310,4,13.05,18.5,101.323974,103
E.grandis,1,Salto,2,91,201,1,2.7,94,323503,1,13.37,19.05,109.216345,110
E.grandis,1,Salto,2,91,201,2,2.7,94,323110,5,10.5,17.43,64.168279,65
E.grandis,1,Salto,2,91,201,2,2.7,94,323110,6,11.14,18.96,85.698053,86.3
E.grandis,1,Salto,2,91,201,2,2.7,94,323110,7,10.82,15.62,64.355019,64.7
E.grandis,1,Salto,2,91,201,2,2.7,94,323110,8,9.87,14.76,46.641129,47.9
E.grandis,1,Salto,2,91,201,2,2.7,94,323310,5,12.1,19.78,95.877135,97
E.grandis,1,Salto,2,91,201,2,2.7,94,323310,6,12.41,17.91,92.190551,92.9
E.grandis,1,Salto,2,91,201,2,2.7,94,323310,7,12.73,19.39,106.343744,107
E.grandis,1,Salto,2,91,201,2,2.7,94,323310,8,13.05,19.8,107.675296,108
E.grandis,1,Salto,2,91,201,3,2.7,94,322902,1,6.37,13.12,19.433664,20.9
E.grandis,1,Salto,2,91,201,3,2.7,94,323006,3,8.28,15.2,34.468003,35.8
E.grandis,1,Salto,2,91,201,3,2.7,94,323503,2,13.37,19.16,116.159297,117
E.grandis,1,Salto,2,91,201,5,2.9,94,322902,2,7,13.12,22.597755,24.2
E.grandis,1,Salto,2,91,201,5,2.9,94,323006,5,8.91,15.25,39.38116,40.6
E.grandis,1,Salto,2,91,201,5,2.9,94,323006,6,7.96,14.8,32.743897,33.8
E.grandis,1,Salto,2,91,201,5,2.9,94,323110,9,10.82,17.12,70.755244,71.4
E.grandis,1,Salto,2,91,201,5,2.9,94,323110,10,9.55,17.65,56.283926,57.3
E.grandis,1,Salto,2,91,201,5,2.9,94,323202,1,10.82,19.21,83.93013,85.4
E.grandis,1,Salto,2,91,201,5,2.9,94,323202,2,9.87,17.18,55.546932,56.9
E.grandis,1,Salto,2,91,201,5,2.9,94,323310,9,12.41,19.31,105.984255,107
E.grandis,1,Salto,2,91,201,5,2.9,94,323310,10,11.78,19.83,92.54989,94
E.grandis,1,Salto,2,91,201,5,2.9,94,323402,1,11.46,17.52,66.762217,68.4
E.grandis,1,Salto,2,91,201,5,2.9,94,323402,2,11.46,17.62,80.60076,81.7
E.grandis,1,Salto,2,91,201,5,2.9,94,323503,3,13.37,19.5,118.083938,119
E.grandis,1,Salto,2,92,202,8,2.6,94,323603,1,12.1,18.25,94.162945,94.5
E.grandis,1,Salto,2,92,202,8,2.6,94,323603,2,12.41,17.55,90.550098,91.1
E.grandis,1,Salto,2,92,202,8,2.6,94,323603,3,12.73,18.6,96.4677,97.8
E.grandis,1,Salto,2,92,202,8,2.6,94,323703,1,10.19,15.84,53.967088,55.3
E.grandis,1,Salto,2,92,202,8,2.6,94,323703,2,10.82,17.4,68.352377,69.2
E.grandis,1,Salto,2,92,202,8,2.6,94,323703,3,10.5,17.98,67.518505,68.2
E.grandis,1,Salto,2,92,202,8,2.6,94,323803,1,8.91,16.5,45.707436,46.8
E.grandis,1,Salto,2,92,202,8,2.6,94,323803,2,8.59,16.35,41.092994,42.7
E.grandis,1,Salto,2,92,202,8,2.6,94,323803,3,8.91,16.57,48.784061,49.9
E.grandis,1,Salto,2,92,202,8,2.8,94,349402,1,6.05,11.67,15.990911,17.2
E.grandis,1,Salto,2,92,202,8,2.8,94,349402,2,5.73,11.99,12.868348,14.6
E.grandis,1,Salto,2,92,202,8,2.8,94,349504,1,9.23,15.4,47.366059,48.3
E.grandis,1,Salto,2,92,202,8,2.8,94,349504,2,9.23,15.42,45.031617,45.8
E.grandis,1,Salto,2,92,202,8,2.8,94,349504,3,7.64,11.08,24.606442,25.4
E.grandis,1,Salto,2,92,202,8,2.8,94,349504,4,8.91,15.77,40.987173,42.2
E.grandis,1,Salto,2,92,202,8,2.8,94,349610,1,10.82,17.25,67.612324,69.1
E.grandis,1,Salto,2,92,202,8,2.8,94,349610,2,10.5,17.52,62.257617,63.2
E.grandis,1,Salto,2,92,202,8,2.8,94,349610,3,10.82,17.08,65.972307,66.6
E.grandis,1,Salto,2,92,202,8,2.8,94,349610,4,9.87,16.19,47.938081,49.2
E.grandis,1,Salto,2,92,202,8,2.8,94,349610,5,9.87,13.71,45.861551,46.8
E.grandis,1,Salto,2,92,202,8,2.8,94,349610,6,9.55,15.1,43.749313,45
E.grandis,1,Salto,2,92,202,8,2.8,94,349610,7,9.87,17.4,57.330854,59.1
E.grandis,1,Salto,2,92,202,8,2.8,94,349610,8,10.19,16.8,56.350637,57.7
E.grandis,1,Salto,2,92,202,8,2.8,94,349610,9,10.5,18.11,68.871459,70.1
E.grandis,1,Salto,2,92,202,8,2.8,94,349610,10,9.55,16.5,52.518939,54.3
E.grandis,1,Salto,2,92,202,8,2.8,94,349701,1,11.14,18.53,81.227806,82.3
E.grandis,1,Salto,2,92,202,8,2.8,94,349808,1,12.1,17.68,82.691517,83.2
E.grandis,1,Salto,2,92,202,8,2.8,94,349808,2,11.78,11.66,77.795302,78.8
E.grandis,1,Salto,2,92,202,8,2.8,94,349808,3,12.1,16.78,78.46033,79.8
E.grandis,1,Salto,2,92,202,8,2.8,94,349808,4,11.78,17.43,80.57309,81.6
E.grandis,1,Salto,2,92,202,8,2.8,94,349808,5,NA,17.04,72.620109,73.3
E.grandis,1,Salto,2,92,202,8,2.8,94,349808,6,11.46,17.77,75.743465,77.1
E.grandis,1,Salto,2,92,202,8,2.8,94,349808,7,12.1,17.72,89.781688,90.4
E.grandis,1,Salto,2,92,202,8,2.8,94,349808,8,12.41,17.89,92.783201,93.5
E.grandis,1,Salto,2,92,202,8,2.8,94,349901,1,13.37,18.47,113.128135,114
E.grandis,1,Salto,2,92,203,20,2.4,94,340203,1,9.23,15.15,43.31551,44.5
E.grandis,1,Salto,2,92,203,20,2.4,94,340203,2,7.96,14.48,29.969172,31.4
E.grandis,1,Salto,2,92,203,20,2.4,94,340203,3,9.23,16,46.970969,48.2
E.grandis,1,Salto,2,92,203,20,2.4,94,340303,1,9.55,15.52,48.465868,49.4
E.grandis,1,Salto,2,92,203,20,2.4,94,340303,2,10.19,16.04,54.803003,56.2
E.grandis,1,Salto,2,92,203,20,2.4,94,340303,3,10.5,16.38,62.023847,63.2
E.grandis,1,Salto,2,92,203,20,2.4,94,340403,1,12.41,16.39,77.904249,79
E.grandis,1,Salto,2,92,203,20,2.4,94,340403,2,11.78,17.05,77.027081,77.7
E.grandis,1,Salto,2,92,203,20,2.4,94,340403,3,13.05,17.86,91.904528,93
E.grandis,1,Salto,2,92,204,10,2.1,94,340503,1,7,12.37,22.349216,24
E.grandis,1,Salto,2,92,204,10,2.1,94,340503,2,7.32,12.96,23.382167,24.8
E.grandis,1,Salto,2,92,204,10,2.1,94,340503,3,6.05,12.05,15.032819,17.1
E.grandis,1,Salto,2,92,204,10,2.1,94,340603,1,8.59,13.26,34.552991,35.3
E.grandis,1,Salto,2,92,204,10,2.1,94,340603,2,9.23,14.14,38.066144,39.1
E.grandis,1,Salto,2,92,204,10,2.1,94,340603,3,8.28,12.82,28.268816,29.3
E.grandis,1,Salto,2,92,204,10,2.1,94,340703,1,10.19,13.89,45.959474,47.2
E.grandis,1,Salto,2,92,204,10,2.1,94,340703,2,11.14,14.82,59.710759,60.1
E.grandis,1,Salto,2,92,204,10,2.1,94,340703,3,9.87,14.38,47.872201,48.7
E.grandis,1,Salto,2,92,204,10,2.2,94,354004,1,12.1,15.02,72.837747,73.7
E.grandis,1,Salto,2,92,204,10,2.2,94,354004,2,11.46,14.39,61.072337,61.9
E.grandis,1,Salto,2,92,204,10,2.2,94,354004,3,11.78,15.52,71.323511,72.6
E.grandis,1,Salto,2,92,204,10,2.2,94,354004,4,12.41,16.69,83.478263,84
E.grandis,1,Salto,2,92,204,10,2.2,94,354102,1,4.46,10.09,5.429069,8.06
E.grandis,1,Salto,2,92,204,10,2.2,94,354102,2,5.41,9.44,9.27527,10.9
E.grandis,1,Salto,2,92,204,10,2.2,94,354202,1,7.32,12.33,24.20731,25.3
E.grandis,1,Salto,2,92,204,10,2.2,94,354202,2,6.37,11.97,15.248961,17
